Metric,Value
Total Area (Acres),"230,004"
Stable Area (Acres),"142,633"
Changed Area (Acres),"87,371"
Percentage Changed,38.0%
Percentage Stable,62.0%
2017-2020: Single Kharif (Acres),"139,470"
2022-2025: Single Kharif (Acres),"123,224"
Change: Single Kharif (Acres),"-16,245"
2017-2020: Single Non-Kharif (Acres),"3,365"
2022-2025: Single Non-Kharif (Acres),"16,911"
Change: Single Non-Kharif (Acres),"+13,546"
2017-2020: Double Cropping (Acres),"74,626"
2022-2025: Double Cropping (Acres),"71,773"
Change: Double Cropping (Acres),"-2,853"
2017-2020: Triple Cropping (Acres),"12,544"
2022-2025: Triple Cropping (Acres),"18,096"
Change: Triple Cropping (Acres),"+5,552"
