Metric,Value
Total Area (Acres),"116,165"
Stable Area (Acres),"87,186"
Changed Area (Acres),"28,979"
Percentage Changed,24.9%
Percentage Stable,75.1%
2017-2020: Single Kharif (Acres),"94,090"
2022-2025: Single Kharif (Acres),"79,369"
Change: Single Kharif (Acres),"-14,721"
2017-2020: Single Non-Kharif (Acres),26
2022-2025: Single Non-Kharif (Acres),233
Change: Single Non-Kharif (Acres),+207
2017-2020: Double Cropping (Acres),"21,962"
2022-2025: Double Cropping (Acres),"36,022"
Change: Double Cropping (Acres),"+14,060"
2017-2020: Triple Cropping (Acres),87
2022-2025: Triple Cropping (Acres),541
Change: Triple Cropping (Acres),+454
