Metric,Value
Total Area (Acres),"180,785"
Stable Area (Acres),"132,340"
Changed Area (Acres),"48,445"
Percentage Changed,26.8%
Percentage Stable,73.2%
2017-2020: Single Kharif (Acres),"143,589"
2022-2025: Single Kharif (Acres),"124,268"
Change: Single Kharif (Acres),"-19,322"
2017-2020: Single Non-Kharif (Acres),76
2022-2025: Single Non-Kharif (Acres),904
Change: Single Non-Kharif (Acres),+828
2017-2020: Double Cropping (Acres),"35,856"
2022-2025: Double Cropping (Acres),"52,673"
Change: Double Cropping (Acres),"+16,817"
2017-2020: Triple Cropping (Acres),"1,263"
2022-2025: Triple Cropping (Acres),"2,941"
Change: Triple Cropping (Acres),"+1,677"
