Metric,Value
Total Area (Acres),"182,774"
Stable Area (Acres),"120,633"
Changed Area (Acres),"62,141"
Percentage Changed,34.0%
Percentage Stable,66.0%
2017-2020: Single Kharif (Acres),"129,193"
2022-2025: Single Kharif (Acres),"105,247"
Change: Single Kharif (Acres),"-23,946"
2017-2020: Single Non-Kharif (Acres),200
2022-2025: Single Non-Kharif (Acres),"2,878"
Change: Single Non-Kharif (Acres),"+2,678"
2017-2020: Double Cropping (Acres),"52,221"
2022-2025: Double Cropping (Acres),"69,988"
Change: Double Cropping (Acres),"+17,767"
2017-2020: Triple Cropping (Acres),"1,159"
2022-2025: Triple Cropping (Acres),"4,661"
Change: Triple Cropping (Acres),"+3,501"
