Metric,Value
Total Area (Acres),"49,389"
Stable Area (Acres),"30,767"
Changed Area (Acres),"18,622"
Percentage Changed,37.7%
Percentage Stable,62.3%
2017-2020: Single Kharif (Acres),"17,433"
2022-2025: Single Kharif (Acres),"9,813"
Change: Single Kharif (Acres),"-7,620"
2017-2020: Single Non-Kharif (Acres),95
2022-2025: Single Non-Kharif (Acres),649
Change: Single Non-Kharif (Acres),+554
2017-2020: Double Cropping (Acres),"29,294"
2022-2025: Double Cropping (Acres),"34,165"
Change: Double Cropping (Acres),"+4,871"
2017-2020: Triple Cropping (Acres),"2,567"
2022-2025: Triple Cropping (Acres),"4,762"
Change: Triple Cropping (Acres),"+2,195"
