Metric,Value
Total Area (Acres),"190,113"
Stable Area (Acres),"129,508"
Changed Area (Acres),"60,605"
Percentage Changed,31.9%
Percentage Stable,68.1%
2017-2020: Single Kharif (Acres),"147,602"
2022-2025: Single Kharif (Acres),"106,962"
Change: Single Kharif (Acres),"-40,639"
2017-2020: Single Non-Kharif (Acres),14
2022-2025: Single Non-Kharif (Acres),122
Change: Single Non-Kharif (Acres),+108
2017-2020: Double Cropping (Acres),"42,407"
2022-2025: Double Cropping (Acres),"82,003"
Change: Double Cropping (Acres),"+39,596"
2017-2020: Triple Cropping (Acres),90
2022-2025: Triple Cropping (Acres),"1,026"
Change: Triple Cropping (Acres),+935
