Metric,Value
Total Area (Acres),"137,111"
Stable Area (Acres),"98,938"
Changed Area (Acres),"38,172"
Percentage Changed,27.8%
Percentage Stable,72.2%
2017-2020: Single Kharif (Acres),"93,454"
2022-2025: Single Kharif (Acres),"89,571"
Change: Single Kharif (Acres),"-3,883"
2017-2020: Single Non-Kharif (Acres),471
2022-2025: Single Non-Kharif (Acres),"2,460"
Change: Single Non-Kharif (Acres),"+1,989"
2017-2020: Double Cropping (Acres),"42,668"
2022-2025: Double Cropping (Acres),"43,936"
Change: Double Cropping (Acres),"+1,268"
2017-2020: Triple Cropping (Acres),517
2022-2025: Triple Cropping (Acres),"1,144"
Change: Triple Cropping (Acres),+627
