Metric,Value
Total Area (Acres),"155,712"
Stable Area (Acres),"102,885"
Changed Area (Acres),"52,827"
Percentage Changed,33.9%
Percentage Stable,66.1%
2017-2020: Single Kharif (Acres),"120,132"
2022-2025: Single Kharif (Acres),"93,235"
Change: Single Kharif (Acres),"-26,897"
2017-2020: Single Non-Kharif (Acres),384
2022-2025: Single Non-Kharif (Acres),"3,109"
Change: Single Non-Kharif (Acres),"+2,726"
2017-2020: Double Cropping (Acres),"34,438"
2022-2025: Double Cropping (Acres),"56,282"
Change: Double Cropping (Acres),"+21,843"
2017-2020: Triple Cropping (Acres),758
2022-2025: Triple Cropping (Acres),"3,086"
Change: Triple Cropping (Acres),"+2,328"
