Metric,Value
Total Area (Acres),"150,531"
Stable Area (Acres),"105,790"
Changed Area (Acres),"44,741"
Percentage Changed,29.7%
Percentage Stable,70.3%
2017-2020: Single Kharif (Acres),"100,371"
2022-2025: Single Kharif (Acres),"97,758"
Change: Single Kharif (Acres),"-2,613"
2017-2020: Single Non-Kharif (Acres),891
2022-2025: Single Non-Kharif (Acres),"3,637"
Change: Single Non-Kharif (Acres),"+2,746"
2017-2020: Double Cropping (Acres),"48,496"
2022-2025: Double Cropping (Acres),"46,973"
Change: Double Cropping (Acres),"-1,523"
2017-2020: Triple Cropping (Acres),773
2022-2025: Triple Cropping (Acres),"2,163"
Change: Triple Cropping (Acres),"+1,390"
