Metric,Value
Total Area (Acres),"117,126"
Stable Area (Acres),"87,860"
Changed Area (Acres),"29,266"
Percentage Changed,25.0%
Percentage Stable,75.0%
2017-2020: Single Kharif (Acres),"84,374"
2022-2025: Single Kharif (Acres),"72,457"
Change: Single Kharif (Acres),"-11,917"
2017-2020: Single Non-Kharif (Acres),261
2022-2025: Single Non-Kharif (Acres),"1,941"
Change: Single Non-Kharif (Acres),"+1,680"
2017-2020: Double Cropping (Acres),"31,939"
2022-2025: Double Cropping (Acres),"42,063"
Change: Double Cropping (Acres),"+10,124"
2017-2020: Triple Cropping (Acres),552
2022-2025: Triple Cropping (Acres),665
Change: Triple Cropping (Acres),+114
