Metric,Value
Total Area (Acres),"64,592"
Stable Area (Acres),"38,867"
Changed Area (Acres),"25,725"
Percentage Changed,39.8%
Percentage Stable,60.2%
2017-2020: Single Kharif (Acres),"29,210"
2022-2025: Single Kharif (Acres),"37,326"
Change: Single Kharif (Acres),"+8,116"
2017-2020: Single Non-Kharif (Acres),939
2022-2025: Single Non-Kharif (Acres),"3,778"
Change: Single Non-Kharif (Acres),"+2,839"
2017-2020: Double Cropping (Acres),"33,277"
2022-2025: Double Cropping (Acres),"22,153"
Change: Double Cropping (Acres),"-11,124"
2017-2020: Triple Cropping (Acres),"1,167"
2022-2025: Triple Cropping (Acres),"1,336"
Change: Triple Cropping (Acres),+169
