Metric,Value
Total Area (Acres),"38,159"
Stable Area (Acres),"23,207"
Changed Area (Acres),"14,952"
Percentage Changed,39.2%
Percentage Stable,60.8%
2017-2020: Single Kharif (Acres),"16,528"
2022-2025: Single Kharif (Acres),"8,233"
Change: Single Kharif (Acres),"-8,295"
2017-2020: Single Non-Kharif (Acres),148
2022-2025: Single Non-Kharif (Acres),572
Change: Single Non-Kharif (Acres),+424
2017-2020: Double Cropping (Acres),"21,220"
2022-2025: Double Cropping (Acres),"28,971"
Change: Double Cropping (Acres),"+7,751"
2017-2020: Triple Cropping (Acres),263
2022-2025: Triple Cropping (Acres),383
Change: Triple Cropping (Acres),+120
