Metric,Value
Total Area (Acres),"78,580"
Stable Area (Acres),"53,886"
Changed Area (Acres),"24,694"
Percentage Changed,31.4%
Percentage Stable,68.6%
2017-2020: Single Kharif (Acres),"49,044"
2022-2025: Single Kharif (Acres),"37,016"
Change: Single Kharif (Acres),"-12,028"
2017-2020: Single Non-Kharif (Acres),8
2022-2025: Single Non-Kharif (Acres),111
Change: Single Non-Kharif (Acres),+103
2017-2020: Double Cropping (Acres),"29,422"
2022-2025: Double Cropping (Acres),"39,709"
Change: Double Cropping (Acres),"+10,287"
2017-2020: Triple Cropping (Acres),106
2022-2025: Triple Cropping (Acres),"1,744"
Change: Triple Cropping (Acres),"+1,638"
