Metric,Value
Total Area (Acres),"172,256"
Stable Area (Acres),"109,769"
Changed Area (Acres),"62,487"
Percentage Changed,36.3%
Percentage Stable,63.7%
2017-2020: Single Kharif (Acres),"126,232"
2022-2025: Single Kharif (Acres),"84,327"
Change: Single Kharif (Acres),"-41,906"
2017-2020: Single Non-Kharif (Acres),81
2022-2025: Single Non-Kharif (Acres),"1,525"
Change: Single Non-Kharif (Acres),"+1,444"
2017-2020: Double Cropping (Acres),"44,333"
2022-2025: Double Cropping (Acres),"83,852"
Change: Double Cropping (Acres),"+39,519"
2017-2020: Triple Cropping (Acres),"1,609"
2022-2025: Triple Cropping (Acres),"2,552"
Change: Triple Cropping (Acres),+943
