Metric,Value
Total Area (Acres),"161,549"
Stable Area (Acres),"103,997"
Changed Area (Acres),"57,552"
Percentage Changed,35.6%
Percentage Stable,64.4%
2017-2020: Single Kharif (Acres),"115,156"
2022-2025: Single Kharif (Acres),"84,651"
Change: Single Kharif (Acres),"-30,505"
2017-2020: Single Non-Kharif (Acres),62
2022-2025: Single Non-Kharif (Acres),525
Change: Single Non-Kharif (Acres),+462
2017-2020: Double Cropping (Acres),"45,509"
2022-2025: Double Cropping (Acres),"72,334"
Change: Double Cropping (Acres),"+26,825"
2017-2020: Triple Cropping (Acres),822
2022-2025: Triple Cropping (Acres),"4,039"
Change: Triple Cropping (Acres),"+3,217"
