Metric,Value
Total Area (Acres),"33,447"
Stable Area (Acres),"15,425"
Changed Area (Acres),"18,022"
Percentage Changed,53.9%
Percentage Stable,46.1%
2017-2020: Single Kharif (Acres),"7,183"
2022-2025: Single Kharif (Acres),"17,001"
Change: Single Kharif (Acres),"+9,819"
2017-2020: Single Non-Kharif (Acres),386
2022-2025: Single Non-Kharif (Acres),"1,421"
Change: Single Non-Kharif (Acres),"+1,036"
2017-2020: Double Cropping (Acres),"16,863"
2022-2025: Double Cropping (Acres),"9,202"
Change: Double Cropping (Acres),"-7,661"
2017-2020: Triple Cropping (Acres),"9,016"
2022-2025: Triple Cropping (Acres),"5,823"
Change: Triple Cropping (Acres),"-3,193"
