Metric,Value
Total Area (Acres),"134,552"
Stable Area (Acres),"92,780"
Changed Area (Acres),"41,772"
Percentage Changed,31.0%
Percentage Stable,69.0%
2017-2020: Single Kharif (Acres),"90,607"
2022-2025: Single Kharif (Acres),"74,925"
Change: Single Kharif (Acres),"-15,683"
2017-2020: Single Non-Kharif (Acres),133
2022-2025: Single Non-Kharif (Acres),424
Change: Single Non-Kharif (Acres),+290
2017-2020: Double Cropping (Acres),"43,363"
2022-2025: Double Cropping (Acres),"56,916"
Change: Double Cropping (Acres),"+13,553"
2017-2020: Triple Cropping (Acres),448
2022-2025: Triple Cropping (Acres),"2,287"
Change: Triple Cropping (Acres),"+1,839"
