Metric,Value
Total Area (Acres),124
Stable Area (Acres),65
Changed Area (Acres),60
Percentage Changed,48.1%
Percentage Stable,51.9%
2017-2020: Single Kharif (Acres),87
2022-2025: Single Kharif (Acres),58
Change: Single Kharif (Acres),-29
2017-2020: Single Non-Kharif (Acres),5
2022-2025: Single Non-Kharif (Acres),46
Change: Single Non-Kharif (Acres),+40
2017-2020: Double Cropping (Acres),15
2022-2025: Double Cropping (Acres),5
Change: Double Cropping (Acres),-10
2017-2020: Triple Cropping (Acres),17
2022-2025: Triple Cropping (Acres),16
Change: Triple Cropping (Acres),-1
