Metric,Value
Total Area (Acres),20
Stable Area (Acres),11
Changed Area (Acres),9
Percentage Changed,45.0%
Percentage Stable,55.0%
2017-2020: Single Kharif (Acres),8
2022-2025: Single Kharif (Acres),6
Change: Single Kharif (Acres),-2
2017-2020: Single Non-Kharif (Acres),4
2022-2025: Single Non-Kharif (Acres),9
Change: Single Non-Kharif (Acres),+5
2017-2020: Double Cropping (Acres),4
2022-2025: Double Cropping (Acres),1
Change: Double Cropping (Acres),-2
2017-2020: Triple Cropping (Acres),5
2022-2025: Triple Cropping (Acres),4
Change: Triple Cropping (Acres),-1
