Metric,Value
Total Area (Acres),"138,275"
Stable Area (Acres),"96,947"
Changed Area (Acres),"41,328"
Percentage Changed,29.9%
Percentage Stable,70.1%
2017-2020: Single Kharif (Acres),"78,823"
2022-2025: Single Kharif (Acres),"68,767"
Change: Single Kharif (Acres),"-10,056"
2017-2020: Single Non-Kharif (Acres),124
2022-2025: Single Non-Kharif (Acres),"1,143"
Change: Single Non-Kharif (Acres),"+1,019"
2017-2020: Double Cropping (Acres),"58,951"
2022-2025: Double Cropping (Acres),"67,093"
Change: Double Cropping (Acres),"+8,143"
2017-2020: Triple Cropping (Acres),377
2022-2025: Triple Cropping (Acres),"1,272"
Change: Triple Cropping (Acres),+894
