Metric,Value
Total Area (Acres),"151,418"
Stable Area (Acres),"98,682"
Changed Area (Acres),"52,736"
Percentage Changed,34.8%
Percentage Stable,65.2%
2017-2020: Single Kharif (Acres),"94,756"
2022-2025: Single Kharif (Acres),"62,792"
Change: Single Kharif (Acres),"-31,964"
2017-2020: Single Non-Kharif (Acres),49
2022-2025: Single Non-Kharif (Acres),336
Change: Single Non-Kharif (Acres),+287
2017-2020: Double Cropping (Acres),"56,034"
2022-2025: Double Cropping (Acres),"84,668"
Change: Double Cropping (Acres),"+28,634"
2017-2020: Triple Cropping (Acres),579
2022-2025: Triple Cropping (Acres),"3,621"
Change: Triple Cropping (Acres),"+3,043"
