Metric,Value
Total Area (Acres),"79,690"
Stable Area (Acres),"53,798"
Changed Area (Acres),"25,892"
Percentage Changed,32.5%
Percentage Stable,67.5%
2017-2020: Single Kharif (Acres),"56,994"
2022-2025: Single Kharif (Acres),"41,358"
Change: Single Kharif (Acres),"-15,636"
2017-2020: Single Non-Kharif (Acres),34
2022-2025: Single Non-Kharif (Acres),499
Change: Single Non-Kharif (Acres),+465
2017-2020: Double Cropping (Acres),"21,339"
2022-2025: Double Cropping (Acres),"35,820"
Change: Double Cropping (Acres),"+14,481"
2017-2020: Triple Cropping (Acres),"1,324"
2022-2025: Triple Cropping (Acres),"2,013"
Change: Triple Cropping (Acres),+690
