Metric,Value
Total Area (Acres),"196,928"
Stable Area (Acres),"128,539"
Changed Area (Acres),"68,389"
Percentage Changed,34.7%
Percentage Stable,65.3%
2017-2020: Single Kharif (Acres),"105,133"
2022-2025: Single Kharif (Acres),"99,581"
Change: Single Kharif (Acres),"-5,553"
2017-2020: Single Non-Kharif (Acres),263
2022-2025: Single Non-Kharif (Acres),"16,606"
Change: Single Non-Kharif (Acres),"+16,343"
2017-2020: Double Cropping (Acres),"86,041"
2022-2025: Double Cropping (Acres),"74,407"
Change: Double Cropping (Acres),"-11,634"
2017-2020: Triple Cropping (Acres),"5,491"
2022-2025: Triple Cropping (Acres),"6,335"
Change: Triple Cropping (Acres),+843
