Metric,Value
Total Area (Acres),"16,493"
Stable Area (Acres),"10,214"
Changed Area (Acres),"6,278"
Percentage Changed,38.1%
Percentage Stable,61.9%
2017-2020: Single Kharif (Acres),"9,738"
2022-2025: Single Kharif (Acres),"12,621"
Change: Single Kharif (Acres),"+2,884"
2017-2020: Single Non-Kharif (Acres),258
2022-2025: Single Non-Kharif (Acres),"1,028"
Change: Single Non-Kharif (Acres),+770
2017-2020: Double Cropping (Acres),"6,006"
2022-2025: Double Cropping (Acres),"2,307"
Change: Double Cropping (Acres),"-3,699"
2017-2020: Triple Cropping (Acres),490
2022-2025: Triple Cropping (Acres),536
Change: Triple Cropping (Acres),+46
