Metric,Value
Total Area (Acres),"130,347"
Stable Area (Acres),"80,214"
Changed Area (Acres),"50,133"
Percentage Changed,38.5%
Percentage Stable,61.5%
2017-2020: Single Kharif (Acres),"79,811"
2022-2025: Single Kharif (Acres),"48,942"
Change: Single Kharif (Acres),"-30,869"
2017-2020: Single Non-Kharif (Acres),4
2022-2025: Single Non-Kharif (Acres),51
Change: Single Non-Kharif (Acres),+48
2017-2020: Double Cropping (Acres),"50,100"
2022-2025: Double Cropping (Acres),"78,982"
Change: Double Cropping (Acres),"+28,882"
2017-2020: Triple Cropping (Acres),432
2022-2025: Triple Cropping (Acres),"2,371"
Change: Triple Cropping (Acres),"+1,939"
