Metric,Value
Total Area (Acres),"151,005"
Stable Area (Acres),"84,299"
Changed Area (Acres),"66,706"
Percentage Changed,44.2%
Percentage Stable,55.8%
2017-2020: Single Kharif (Acres),"77,581"
2022-2025: Single Kharif (Acres),"76,756"
Change: Single Kharif (Acres),-825
2017-2020: Single Non-Kharif (Acres),"3,690"
2022-2025: Single Non-Kharif (Acres),"17,931"
Change: Single Non-Kharif (Acres),"+14,241"
2017-2020: Double Cropping (Acres),"46,952"
2022-2025: Double Cropping (Acres),"31,183"
Change: Double Cropping (Acres),"-15,769"
2017-2020: Triple Cropping (Acres),"22,782"
2022-2025: Triple Cropping (Acres),"25,134"
Change: Triple Cropping (Acres),"+2,353"
