Metric,Value
Total Area (Acres),"17,193"
Stable Area (Acres),"11,621"
Changed Area (Acres),"5,572"
Percentage Changed,32.4%
Percentage Stable,67.6%
2017-2020: Single Kharif (Acres),"10,180"
2022-2025: Single Kharif (Acres),"12,223"
Change: Single Kharif (Acres),"+2,043"
2017-2020: Single Non-Kharif (Acres),44
2022-2025: Single Non-Kharif (Acres),849
Change: Single Non-Kharif (Acres),+805
2017-2020: Double Cropping (Acres),"5,814"
2022-2025: Double Cropping (Acres),"3,058"
Change: Double Cropping (Acres),"-2,756"
2017-2020: Triple Cropping (Acres),"1,155"
2022-2025: Triple Cropping (Acres),"1,063"
Change: Triple Cropping (Acres),-92
