Metric,Value
Total Area (Acres),"9,947"
Stable Area (Acres),"6,075"
Changed Area (Acres),"3,872"
Percentage Changed,38.9%
Percentage Stable,61.1%
2017-2020: Single Kharif (Acres),"3,319"
2022-2025: Single Kharif (Acres),"4,685"
Change: Single Kharif (Acres),"+1,365"
2017-2020: Single Non-Kharif (Acres),37
2022-2025: Single Non-Kharif (Acres),392
Change: Single Non-Kharif (Acres),+355
2017-2020: Double Cropping (Acres),"4,173"
2022-2025: Double Cropping (Acres),"2,681"
Change: Double Cropping (Acres),"-1,493"
2017-2020: Triple Cropping (Acres),"2,417"
2022-2025: Triple Cropping (Acres),"2,190"
Change: Triple Cropping (Acres),-228
