Metric,Value
Total Area (Acres),"96,025"
Stable Area (Acres),"57,696"
Changed Area (Acres),"38,329"
Percentage Changed,39.9%
Percentage Stable,60.1%
2017-2020: Single Kharif (Acres),"64,954"
2022-2025: Single Kharif (Acres),"63,951"
Change: Single Kharif (Acres),"-1,003"
2017-2020: Single Non-Kharif (Acres),"4,698"
2022-2025: Single Non-Kharif (Acres),"13,487"
Change: Single Non-Kharif (Acres),"+8,788"
2017-2020: Double Cropping (Acres),"19,816"
2022-2025: Double Cropping (Acres),"12,117"
Change: Double Cropping (Acres),"-7,698"
2017-2020: Triple Cropping (Acres),"6,557"
2022-2025: Triple Cropping (Acres),"6,469"
Change: Triple Cropping (Acres),-87
