Metric,Value
Total Area (Acres),"89,836"
Stable Area (Acres),"48,653"
Changed Area (Acres),"41,184"
Percentage Changed,45.8%
Percentage Stable,54.2%
2017-2020: Single Kharif (Acres),"47,968"
2022-2025: Single Kharif (Acres),"46,425"
Change: Single Kharif (Acres),"-1,542"
2017-2020: Single Non-Kharif (Acres),"2,325"
2022-2025: Single Non-Kharif (Acres),"11,825"
Change: Single Non-Kharif (Acres),"+9,500"
2017-2020: Double Cropping (Acres),"31,808"
2022-2025: Double Cropping (Acres),"21,306"
Change: Double Cropping (Acres),"-10,502"
2017-2020: Triple Cropping (Acres),"7,735"
2022-2025: Triple Cropping (Acres),"10,280"
Change: Triple Cropping (Acres),"+2,545"
