Metric,Value
Total Area (Acres),"252,091"
Stable Area (Acres),"163,991"
Changed Area (Acres),"88,100"
Percentage Changed,34.9%
Percentage Stable,65.1%
2017-2020: Single Kharif (Acres),"179,080"
2022-2025: Single Kharif (Acres),"169,484"
Change: Single Kharif (Acres),"-9,596"
2017-2020: Single Non-Kharif (Acres),"10,392"
2022-2025: Single Non-Kharif (Acres),"16,598"
Change: Single Non-Kharif (Acres),"+6,206"
2017-2020: Double Cropping (Acres),"48,051"
2022-2025: Double Cropping (Acres),"46,882"
Change: Double Cropping (Acres),"-1,168"
2017-2020: Triple Cropping (Acres),"14,568"
2022-2025: Triple Cropping (Acres),"19,126"
Change: Triple Cropping (Acres),"+4,559"
