Metric,Value
Total Area (Acres),"10,905"
Stable Area (Acres),"7,907"
Changed Area (Acres),"2,999"
Percentage Changed,27.5%
Percentage Stable,72.5%
2017-2020: Single Kharif (Acres),"7,953"
2022-2025: Single Kharif (Acres),"9,180"
Change: Single Kharif (Acres),"+1,228"
2017-2020: Single Non-Kharif (Acres),54
2022-2025: Single Non-Kharif (Acres),576
Change: Single Non-Kharif (Acres),+522
2017-2020: Double Cropping (Acres),"2,620"
2022-2025: Double Cropping (Acres),970
Change: Double Cropping (Acres),"-1,650"
2017-2020: Triple Cropping (Acres),280
2022-2025: Triple Cropping (Acres),179
Change: Triple Cropping (Acres),-100
