Metric,Value
Total Area (Acres),"114,981"
Stable Area (Acres),"84,168"
Changed Area (Acres),"30,813"
Percentage Changed,26.8%
Percentage Stable,73.2%
2017-2020: Single Kharif (Acres),"84,207"
2022-2025: Single Kharif (Acres),"79,549"
Change: Single Kharif (Acres),"-4,658"
2017-2020: Single Non-Kharif (Acres),30
2022-2025: Single Non-Kharif (Acres),909
Change: Single Non-Kharif (Acres),+879
2017-2020: Double Cropping (Acres),"30,616"
2022-2025: Double Cropping (Acres),"34,151"
Change: Double Cropping (Acres),"+3,534"
2017-2020: Triple Cropping (Acres),127
2022-2025: Triple Cropping (Acres),372
Change: Triple Cropping (Acres),+245
