Metric,Value
Total Area (Acres),"94,166"
Stable Area (Acres),"66,483"
Changed Area (Acres),"27,683"
Percentage Changed,29.4%
Percentage Stable,70.6%
2017-2020: Single Kharif (Acres),"71,748"
2022-2025: Single Kharif (Acres),"61,193"
Change: Single Kharif (Acres),"-10,555"
2017-2020: Single Non-Kharif (Acres),6
2022-2025: Single Non-Kharif (Acres),133
Change: Single Non-Kharif (Acres),+127
2017-2020: Double Cropping (Acres),"22,372"
2022-2025: Double Cropping (Acres),"32,175"
Change: Double Cropping (Acres),"+9,803"
2017-2020: Triple Cropping (Acres),40
2022-2025: Triple Cropping (Acres),665
Change: Triple Cropping (Acres),+625
