Metric,Value
Total Area (Acres),"186,159"
Stable Area (Acres),"136,909"
Changed Area (Acres),"49,250"
Percentage Changed,26.5%
Percentage Stable,73.5%
2017-2020: Single Kharif (Acres),"147,990"
2022-2025: Single Kharif (Acres),"120,572"
Change: Single Kharif (Acres),"-27,418"
2017-2020: Single Non-Kharif (Acres),72
2022-2025: Single Non-Kharif (Acres),692
Change: Single Non-Kharif (Acres),+619
2017-2020: Double Cropping (Acres),"37,918"
2022-2025: Double Cropping (Acres),"63,057"
Change: Double Cropping (Acres),"+25,139"
2017-2020: Triple Cropping (Acres),179
2022-2025: Triple Cropping (Acres),"1,839"
Change: Triple Cropping (Acres),"+1,659"
