Cropping Layer,Metric,2017-2020,2022-2025
Single Kharif,Number of Hotspot Clusters,253.0,247.0
Single Kharif,Minimum Distance (km),0.84,3.38
Single Kharif,Maximum Distance (km),78.77,78.36
Single Kharif,Average Distance (km),31.37,38.15
Single Kharif,Std Deviation (km),20.8,22.88
Single Non-Kharif,Number of Hotspot Clusters,139.0,196.0
Single Non-Kharif,Minimum Distance (km),7.11,7.07
Single Non-Kharif,Maximum Distance (km),78.95,79.84
Single Non-Kharif,Average Distance (km),45.13,54.93
Single Non-Kharif,Std Deviation (km),21.12,17.99
Double Cropping,Number of Hotspot Clusters,255.0,253.0
Double Cropping,Minimum Distance (km),3.23,1.25
Double Cropping,Maximum Distance (km),74.94,78.79
Double Cropping,Average Distance (km),35.33,27.81
Double Cropping,Std Deviation (km),21.95,17.81
Triple Cropping,Number of Hotspot Clusters,215.0,243.0
Triple Cropping,Minimum Distance (km),4.76,6.16
Triple Cropping,Maximum Distance (km),77.44,78.22
Triple Cropping,Average Distance (km),56.67,52.83
Triple Cropping,Std Deviation (km),18.64,20.61
