Cropping Layer,Metric,2017-2020,2022-2025
Single Kharif,Number of Hotspot Clusters,293.0,294.0
Single Kharif,Minimum Distance (km),3.79,3.69
Single Kharif,Maximum Distance (km),86.78,86.88
Single Kharif,Average Distance (km),43.2,44.53
Single Kharif,Std Deviation (km),19.12,18.48
Single Non-Kharif,Number of Hotspot Clusters,191.0,245.0
Single Non-Kharif,Minimum Distance (km),2.65,4.08
Single Non-Kharif,Maximum Distance (km),102.95,103.91
Single Non-Kharif,Average Distance (km),51.24,50.04
Single Non-Kharif,Std Deviation (km),20.02,24.05
Double Cropping,Number of Hotspot Clusters,292.0,293.0
Double Cropping,Minimum Distance (km),6.38,6.33
Double Cropping,Maximum Distance (km),102.11,101.01
Double Cropping,Average Distance (km),57.19,53.74
Double Cropping,Std Deviation (km),20.52,20.82
Triple Cropping,Number of Hotspot Clusters,165.0,260.0
Triple Cropping,Minimum Distance (km),0.45,5.5
Triple Cropping,Maximum Distance (km),106.24,105.74
Triple Cropping,Average Distance (km),56.99,58.79
Triple Cropping,Std Deviation (km),33.97,25.95
