Cropping Layer,Metric,2017-2020,2022-2025
Single Kharif,Number of Hotspot Clusters,208.0,208.0
Single Kharif,Minimum Distance (km),7.12,10.68
Single Kharif,Maximum Distance (km),91.01,92.11
Single Kharif,Average Distance (km),37.41,46.57
Single Kharif,Std Deviation (km),18.33,19.2
Single Non-Kharif,Number of Hotspot Clusters,113.0,197.0
Single Non-Kharif,Minimum Distance (km),7.44,5.54
Single Non-Kharif,Maximum Distance (km),92.0,97.83
Single Non-Kharif,Average Distance (km),46.35,44.36
Single Non-Kharif,Std Deviation (km),18.45,17.42
Double Cropping,Number of Hotspot Clusters,206.0,207.0
Double Cropping,Minimum Distance (km),4.13,4.13
Double Cropping,Maximum Distance (km),91.36,92.86
Double Cropping,Average Distance (km),51.84,43.87
Double Cropping,Std Deviation (km),18.7,20.15
Triple Cropping,Number of Hotspot Clusters,138.0,166.0
Triple Cropping,Minimum Distance (km),0.66,0.61
Triple Cropping,Maximum Distance (km),74.98,94.42
Triple Cropping,Average Distance (km),48.7,46.83
Triple Cropping,Std Deviation (km),17.14,21.63
