Cropping Layer,Metric,2017-2020,2022-2025
Single Kharif,Number of Hotspot Clusters,253.0,251.0
Single Kharif,Minimum Distance (km),7.04,7.02
Single Kharif,Maximum Distance (km),67.99,68.06
Single Kharif,Average Distance (km),35.23,39.56
Single Kharif,Std Deviation (km),13.85,13.89
Single Non-Kharif,Number of Hotspot Clusters,92.0,216.0
Single Non-Kharif,Minimum Distance (km),4.81,1.03
Single Non-Kharif,Maximum Distance (km),66.99,73.57
Single Non-Kharif,Average Distance (km),37.48,35.89
Single Non-Kharif,Std Deviation (km),15.65,18.93
Double Cropping,Number of Hotspot Clusters,252.0,251.0
Double Cropping,Minimum Distance (km),4.52,10.88
Double Cropping,Maximum Distance (km),71.94,71.35
Double Cropping,Average Distance (km),50.52,40.46
Double Cropping,Std Deviation (km),13.28,15.46
Triple Cropping,Number of Hotspot Clusters,171.0,236.0
Triple Cropping,Minimum Distance (km),3.85,14.26
Triple Cropping,Maximum Distance (km),72.29,71.69
Triple Cropping,Average Distance (km),52.39,50.48
Triple Cropping,Std Deviation (km),11.37,11.75
